country code,asciiname,feature class,population,elevation
CH,Oppens,P,179,
CH,Opfikon,P,1277,
CH,Onex,P,17302,
CH,Olten,P,16411,
CH,Ollon,P,6665,
CH,Ohmstal,P,321,
CH,Oftringen,P,10390,
CH,Oetwil / Oetwil an der Limmat,P,513,
CH,Oetwil am See,P,4925,
CH,Zuerich (Kreis 11) / Oerlikon,P,17922,
CH,Oensingen,P,4609,
CH,Ocourt,P,125,
CH,Ochlenberg,P,641,626.0
CH,Obstalden,P,465,
CH,Obfelden,P,4039,
CH,Oberwil,P,10187,
CH,Wetzikon / Ober-Wetzikon,P,3858,
CH,Oberweningen,P,919,
CH,Oberwald,P,277,1377.0
CH,Oberuzwil,P,5616,
CH,Ober Urdorf,P,9205,
CH,Oberstocken,P,277,
CH,Obersiggenthal,P,7990,
CH,Oberschrot,P,1099,
CH,Oberschlatt,P,105,
CH,Obersaxen,P,757,
CH,Oberruti,P,1268,
CH,Oberriet,P,7675,
CH,Oberrieden,P,4413,
CH,Oberonz,P,879,
CH,Oberneuforn,P,965,
CH,Oberlunkhofen,P,1880,
CH,Oberkirch,P,3228,
CH,Illnau / Ober-Illnau,P,953,
CH,Oberiberg,P,786,
CH,Oberhofen bei Etzgen,P,289,
CH,Oberhelfenschwil,P,1318,
CH,Oberhausen-Boeschenwiesen,P,170,
CH,Oberhallau,P,416,
CH,Obergosgen,P,2076,
CH,Oberglatt,P,3564,
CH,Oberentfelden,P,7553,
CH,Oberengstringen,P,5805,
CH,Endingen,P,1935,
CH,Oberems,P,135,
CH,Oberembrach,P,694,
CH,Oberegg,P,1827,
CH,Oberdorf,P,2248,
CH,Oberdiessbach,P,2860,
CH,Oberburg,P,2901,
CH,Oberbuchsiten,P,1807,
CH,Ober-Buch,P,258,
CH,Oberbipp,P,1440,
CH,Oberbalm,P,849,
CH,Nyon,P,16797,
CH,Nurensdorf,P,2310,
CH,Nunningen,P,1939,
CH,Nufenen,P,156,
CH,Novazzano,P,2395,
CH,Novalles,P,87,
CH,Novaggio,P,794,
CH,Nottwil,P,2911,
CH,Noreaz,P,501,
CH,Noiraigue,P,524,
CH,Nohl,P,124,
CH,Nods,P,684,
CH,Wichtrach,P,3843,
CH,Niederweningen / Niederweningen (Dorf),P,733,
CH,Niederwald,P,62,
CH,Niederurnen,P,3657,
CH,Sommeri,P,492,
CH,Niederrohrdorf,P,2784,
CH,Niederlenz,P,4022,
CH,Niederhelfenschwil,P,2668,580.0
CH,Niedergosgen,P,3847,
CH,Niedergesteln,P,615,
CH,Erlinsbach,P,2258,
CH,Niederburen,P,1415,
CH,Niederbuchsiten,P,947,
CH,Niederbipp,P,3862,
CH,Nidfurn,P,227,
CH,Nidau,P,6696,
CH,Neunkirch,P,1911,
CH,Surcuolm,P,120,1346.0
CH,Neuhausen,P,10019,410.0
CH,Neuenkirch,P,5963,
CH,Neuenhof,P,7957,
CH,Neudorf,P,1068,
CH,Neuchatel,P,31270,
CH,Netstal,P,2900,
CH,Neftenbach / Dorf Neftenbach,P,3171,
CH,Nebikon,P,2241,
CH,Nax,P,406,
CH,Naters,P,7552,720.0
CH,Nanikon,P,1560,
CH,Nafels,P,3978,
CH,Muttenz,P,16927,
CH,Mutten,P,78,
CH,Muestair,P,795,
CH,Murten/Morat,P,5800,435.0
CH,Muerren,P,451,1650.0
CH,Muri,P,6463,
CH,Muri,P,12374,
CH,Murgenthal,P,3044,
CH,Muotathal,P,3548,
CH,Muolen,P,1118,
CH,Muentschemier,P,1333,438.0
CH,Munsterlingen,P,2459,
CH,Munsingen,P,10928,
CH,Mund,P,580,
CH,Munchwilen,P,4612,
CH,Munchenstein,P,11644,
CH,Munchenbuchsee,P,9801,
CH,Mumpf,P,1425,
CH,Mullheim,P,2493,
CH,Muhlethurnen,P,1265,
CH,Mulegns,P,26,
CH,Muhlehorn,P,435,
CH,Muhleberg,P,2739,
CH,Muhlebach,P,72,
CH,Muhlau,P,967,
CH,Muhen,P,3419,
CH,Muggio,P,218,
CH,Mugena,P,147,
CH,Movelier,P,455,
CH,Moutier,P,7721,
CH,Moudon,P,4343,
CH,Motiers,P,814,
CH,Mosogno,P,67,
CH,Mosnang,P,2936,
CH,Morschwil,P,3496,
CH,Morschach,P,971,648.0
CH,Morissen,P,243,
CH,Morigen,P,824,
CH,Morgins,P,1000,1350.0
CH,Morges,P,14117,
CH,Morens,P,145,
CH,Morel,P,477,
CH,Morcote,P,706,
CH,Morbio Superiore,P,703,
CH,Morbio Inferiore,P,4331,
CH,Montricher,P,761,
CH,Montreux,P,22897,
CH,Mont-la-Ville,P,342,
CH,Montignez,P,229,
CH,Monthey,P,15106,
CH,Montfaucon,P,421,
CH,Monte Carasso,P,2336,
CH,Montcherand,P,394,
CH,Montbovon,P,250,797.0
CH,Montana,P,2301,
CH,Montagny,P,1467,
CH,Montagnola,P,2297,
CH,Mon,P,79,
CH,Monchaltorf,P,2779,
CH,Mollis,P,3014,
CH,Mollens,P,282,
CH,Moleno,P,117,
CH,Mohlin,P,9382,
CH,Moghegno,P,387,
CH,Mogelsberg,P,2213,
CH,Minusio,P,6653,
CH,Miglieglia,P,241,
CH,Miege,P,925,
CH,Miecourt,P,454,
CH,Mezieres,P,1060,
CH,Meyrin,P,19772,
CH,Mex,P,538,
CH,Mettmenstetten,P,2798,
CH,Messen,P,1018,
CH,Mesocco,P,1262,
CH,Mervelier,P,557,
CH,Merishausen,P,668,
CH,Meride,P,333,
CH,Mergoscia,P,204,720.0
CH,Merenschwand,P,2479,
CH,Menznau,P,2628,
CH,Menzingen,P,3878,805.0
CH,Menziken,P,5415,
CH,Mendrisio,P,7310,
CH,Mellingen,P,4224,
CH,Melide,P,1577,282.0
CH,Melchnau,P,1467,
CH,Melano,P,1133,
CH,Meisterschwanden,P,2459,
CH,Meiringen,P,4652,
CH,Meinisberg,P,1198,
CH,Meilen,P,4419,
CH,Meierskappel,P,1128,
CH,Meggen,P,6533,
CH,Medels im Rheinwald,P,35,
CH,Medeglia,P,342,
CH,Maur,P,307,
CH,Mauensee,P,1199,
CH,Mauborget,P,115,
CH,Matzingen,P,2399,
CH,Matzendorf,P,1282,
CH,Matten,P,3676,
CH,Matt,P,344,
CH,Mathon,P,57,
CH,Mastrils,P,559,
CH,Massagno,P,5774,
CH,Mase,P,216,
CH,Maschwanden,P,485,
CH,Martigny-Ville,P,14768,
CH,Martigny-Combe,P,1731,
CH,Marthalen,P,1567,
CH,Maerstetten-Dorf,P,2600,421.0
CH,Marsens,P,1571,
CH,Marmorera,P,58,
CH,Marly,P,7653,627.0
CH,Maracon,P,582,
CH,Maennedorf,P,7951,
CH,Mammern,P,623,
CH,Malvaglia,P,1290,
CH,Malters,P,6181,
CH,Malleray,P,1918,
CH,Malix,P,710,
CH,Malans,P,2051,
CH,Maladers,P,500,
CH,Maisprach,P,933,
CH,Maienfeld,P,2435,
CH,Magglingen,P,574,
CH,Maggia,P,720,
CH,Magden,P,3433,
CH,Magadino,P,1538,
CH,Madiswil,P,1991,
CH,Lyssach,P,1375,
CH,Lyss,P,10937,
CH,Luzern,P,57066,
CH,Luzein,P,1153,
CH,Luven,P,234,998.0
CH,Lutzelfluh,P,4035,
CH,Lutschental,P,264,
CH,Lutry,P,8774,
CH,Lutisburg,P,1476,
CH,Luthern,P,1392,
CH,Luterbach,P,3292,
CH,Lurtigen,P,180,
CH,Lungern,P,1921,
CH,Lumino,P,1190,
CH,Lumbrein,P,428,
CH,Lully,P,714,
CH,Lugano,P,63000,
CH,Ludiano,P,307,
CH,Luchsingen,P,1530,
CH,Lucens,P,2192,
CH,Lue,P,65,
CH,Lotzwil,P,2391,
CH,Lottigna,P,65,
CH,Lostorf,P,3749,
CH,Lostallo,P,691,
CH,Losone,P,6070,
CH,Longirod,P,366,
CH,Lommis,P,990,
CH,Lohn,P,649,636.0
