Entity,Code,Date,people_vaccinated_per_hundred
Tennessee,,1/24/21,5.19
Texas,,1/12/21,2.79
Texas,,1/13/21,2.97
Texas,,1/14/21,3.16
Texas,,1/15/21,3.46
Texas,,1/19/21,4.22
Texas,,1/20/21,4.42
Texas,,1/21/21,4.61
Texas,,1/22/21,4.87
Texas,,1/23/21,5.08
Texas,,1/24/21,5.18
United States,USA,1/12/21,2.23
United States,USA,1/13/21,2.41
United States,USA,1/14/21,2.92
United States,USA,1/15/21,3.19
United States,USA,1/19/21,4.1
United States,USA,1/20/21,4.3
United States,USA,1/21/21,4.53
United States,USA,1/22/21,4.89
United States,USA,1/23/21,5.24
United States,USA,1/24/21,5.57
Utah,,1/12/21,2.83
Utah,,1/13/21,3.06
Utah,,1/14/21,3.24
Utah,,1/15/21,3.57
Utah,,1/19/21,4.49
Utah,,1/20/21,4.98
Utah,,1/21/21,5.19
Utah,,1/22/21,5.47
Utah,,1/23/21,5.47
Utah,,1/24/21,5.47
Vermont,,1/14/21,4.26
Vermont,,1/15/21,4.54
Vermont,,1/19/21,5.52
Vermont,,1/20/21,5.55
Vermont,,1/21/21,5.81
Vermont,,1/22/21,6.16
Vermont,,1/23/21,6.49
Vermont,,1/24/21,6.72
Virgin Islands,,1/14/21,1.21
Virgin Islands,,1/15/21,1.41
Virgin Islands,,1/19/21,1.88
Virgin Islands,,1/20/21,2.08
Virgin Islands,,1/21/21,2.34
Virgin Islands,,1/22/21,2.58
Virgin Islands,,1/23/21,2.81
Virgin Islands,,1/24/21,2.84
Virginia,,1/14/21,2.26
Virginia,,1/15/21,2.52
Virginia,,1/19/21,3.4
Virginia,,1/20/21,3.56
Virginia,,1/21/21,3.75
Virginia,,1/22/21,4.15
Virginia,,1/23/21,4.41
Virginia,,1/24/21,4.61
Washington,,1/12/21,2.13
Washington,,1/13/21,2.23
Washington,,1/14/21,2.46
Washington,,1/15/21,2.64
Washington,,1/19/21,3.49
Washington,,1/20/21,3.76
Washington,,1/21/21,4.03
Washington,,1/22/21,4.34
Washington,,1/23/21,4.72
Washington,,1/24/21,4.86
West Virginia,,1/14/21,5.53
West Virginia,,1/15/21,6.31
West Virginia,,1/19/21,7.19
West Virginia,,1/20/21,7.42
West Virginia,,1/21/21,7.59
West Virginia,,1/22/21,8.11
West Virginia,,1/23/21,8.75
West Virginia,,1/24/21,9.14
Wisconsin,,1/12/21,2.16
Wisconsin,,1/13/21,2.16
Wisconsin,,1/14/21,2.33
Wisconsin,,1/15/21,2.6
Wisconsin,,1/19/21,3.23
Wisconsin,,1/20/21,3.32
Wisconsin,,1/21/21,3.52
Wisconsin,,1/22/21,3.8
Wisconsin,,1/23/21,4.15
Wisconsin,,1/24/21,4.48
Wyoming,,1/12/21,2.35
Wyoming,,1/13/21,2.49
Wyoming,,1/14/21,2.99
Wyoming,,1/15/21,3.44
Wyoming,,1/19/21,4.28
Wyoming,,1/20/21,4.46
Wyoming,,1/21/21,4.46
Wyoming,,1/22/21,5.18
Wyoming,,1/23/21,5.66
Wyoming,,1/24/21,6.2
