city,latitude,longitude,country_code,population
Hwasun,35.06125,126.98746,KR,59914
Hwaseong-si,37.20682,126.8169,KR,476297
Hongseong,36.6009,126.665,KR,89174
Hongch'on,37.6918,127.8857,KR,75251
Chuncheon,37.87472,127.73417,KR,209746
Jeonju,35.82194,127.14889,KR,711424
Cheongju-si,36.63722,127.48972,KR,634596
Cheonan,36.8065,127.1522,KR,365114
Chinju,35.19278,128.08472,KR,307242
Chinch'on,36.85667,127.44333,KR,60964
Jeju City,33.50972,126.52194,KR,408364
Changwon,35.22806,128.68111,KR,550000
Anyang-si,37.3925,126.92694,KR,634367
Anseong,37.01083,127.27028,KR,69255
Ansan-si,37.32361,126.82194,KR,650728
Andong,36.56636,128.72275,KR,129319
Sinhyeon,34.8825,128.62667,KR,82560
Yeosu,34.76062,127.66215,KR,295538
Tonghae,37.54389,129.10694,KR,101128
Pubal,37.29167,127.50778,KR,63026
Seongnam-si,37.43861,127.13778,KR,1031935
Hanam,37.54,127.20556,KR,134902
Hwado,37.6525,127.3075,KR,106358
Namyangju,37.63667,127.21417,KR,90798
Ungsang,35.40611,129.16861,KR,83360
Wabu,37.58972,127.22028,KR,96775
Naeso,35.24972,128.52,KR,80987
